packet_id,delivered,Usage
16260,1,Private
81864,1,Public
8372,1,Public
35594,1,Public
86745,1,Public
76983,1,Public
65454,1,Public
25355,0,Private
95219,0,Private
30185,1,Public
45440,0,Public
63023,1,Public
61210,0,Private
17488,1,Public
106119,1,Public
84917,1,Public
2358,1,Public
25959,0,Public
18739,1,Public
114603,1,Private
80015,1,Public
32580,0,Private
120082,1,Private
13790,1,Public
3568,1,Public
28341,1,Public
8373,1,Private
100610,1,Private
22361,1,Public
109169,0,Private
93379,1,Public
114011,0,Public
107341,1,Public
107342,1,Public
57521,1,Private
24136,1,Public
83070,1,Private
19329,1,Private
98819,1,Public
55759,0,Public
55760,0,Private
80626,1,Public
87350,1,Public
44209,0,Private
72165,1,Public
46670,0,Private
33192,0,Private
89122,1,Private
111609,1,Public
15648,1,Public
7186,1,Private
111001,0,Private
59993,1,Private
111610,0,Private
42995,1,Public
114012,1,Private
22362,1,Public
105491,1,Public
38074,1,Private
56330,1,Public
120705,0,Private
5991,1,Public
35595,0,Private
66648,1,Public
4149,1,Private
73420,0,Private
51492,1,Public
62415,1,Private
93990,1,Public
66063,1,Public
72166,1,Public
119449,1,Private
51493,1,Public
19948,1,Private
98204,0,Public
45441,0,Private
45442,0,Public
88540,0,Public
33193,1,Public
47283,1,Public
111002,0,Public
65455,0,Public
75779,0,Public
5403,1,Private
94617,1,Private
119450,1,Private
41126,1,Public
93380,1,Public
4796,1,Public
14431,1,Public
116443,1,Public
53321,0,Private
55761,0,Private
101233,0,Public
18140,1,Public
72167,1,Private
21166,1,Private
30186,1,Public
76384,0,Private
58131,0,Private
118844,0,Public
38689,0,Private
5404,1,Private
115230,0,Private
111611,0,Public
38690,0,Private
61823,1,Private
1148,0,Private
57522,0,Private
95821,1,Public
518,1,Public
28946,1,Private
111003,0,Public
52102,1,Public
90267,1,Public
57523,1,Public
28947,1,Public
41127,1,Private
97604,0,Public
59388,1,Public
56936,0,Private
2947,0,Private
13223,0,Public
59994,1,Private
75780,0,Public
16880,1,Public
20608,1,Public
105492,1,Public
89700,1,Public
93381,0,Private
101850,0,Public
1765,1,Private
22980,1,Public
41742,1,Public
94618,1,Public
24137,1,Private
34994,1,Public
11406,0,Public
48469,1,Private
77613,1,Private
83071,1,Public
72790,0,Private
117618,1,Private
104878,1,Private
8987,1,Public
64226,1,Public
1766,1,Public
42369,0,Public
70934,0,Public
55165,0,Private
78228,0,Private
46066,1,Public
28948,1,Public
49052,1,Public
108593,1,Public
63611,1,Private
32581,0,Private
37481,1,Public
8988,1,Public
70935,0,Private
21167,1,Public
1767,1,Public
24733,0,Private
7187,0,Private
50253,1,Public
104261,1,Public
66064,1,Public
89701,1,Private
2948,1,Public
1149,0,Public
61824,1,Private
54551,1,Public
82468,0,Private
27726,0,Private
93991,1,Public
83072,1,Private
70359,1,Private
65456,1,Public
121329,1,Public
55762,0,Private
101234,0,Private
71542,0,Private
81865,0,Private
44210,0,Private
82469,1,Public
75182,1,Private
75781,1,Private
76984,1,Public
8989,1,Private
64227,1,Public
95220,0,Private
23552,1,Public
92757,1,Public
21762,1,Public
117619,1,Public
49053,1,Public
95221,0,Public
70360,0,Private
93992,1,Public
32015,1,Public
25356,1,Private
24734,0,Private
16261,0,Public
32582,0,Public
47284,1,Private
119451,0,Public
33779,1,Public
17489,1,Private
115231,0,Private
115821,0,Public
4150,1,Public
51494,0,Public
61825,0,Private
93993,0,Private
101851,0,Public
50853,0,Public
10180,0,Private
30187,1,Public
108594,0,Public
37482,1,Public
101852,0,Private
78805,1,Public
83073,1,Private
121330,1,Private
120083,0,Public
7788,1,Private
35596,1,Public
16262,0,Private
84918,1,Public
92758,0,Public
30780,0,Private
107976,0,Private
103678,1,Public
78806,1,Public
90911,0,Private
8990,1,Public
71543,0,Private
74002,0,Public
115232,0,Private
97004,1,Private
69128,1,Public
101235,0,Private
104879,1,Public
18141,0,Private
115233,0,Private
6574,0,Private
18142,0,Public
81866,1,Public
103072,1,Public
35597,1,Private
64228,1,Public
3569,1,Private
31409,0,Public
70361,0,Private
36852,1,Public
76385,0,Private
68503,0,Private
61826,0,Public
70936,0,Public
50854,0,Private
59389,0,Public
99434,1,Private
27727,0,Private
36208,0,Private
44833,0,Private
519,1,Private
81248,0,Public
97005,1,Public
107343,0,Public
119452,0,Private
100022,0,Public
75782,1,Private
30188,1,Private
94619,0,Public
22981,0,Public
80016,0,Private
103679,1,Public
71544,0,Private
52103,1,Public
30189,1,Private
10181,1,Public
69742,1,Private
1768,1,Public
16881,1,Public
115822,0,Private
27728,0,Public
51495,0,Public
70937,0,Private
38075,1,Public
27729,0,Private
41743,1,Public
104262,0,Public
67882,0,Private
107344,0,Public
75183,1,Private
75783,0,Private
108595,0,Private
78807,1,Private
46671,0,Private
65457,0,Private
81249,0,Public
84300,0,Public
113408,1,Public
104263,0,Public
91516,0,Public
520,1,Public
105493,0,Private
53322,0,Public
66649,0,Private
9567,1,Public
26525,1,Public
3570,1,Public
83690,1,Private
26526,1,Public
107977,0,Public
30781,0,Public
26527,1,Private
36209,0,Private
67294,1,Public
100023,0,Public
30782,0,Private
24735,0,Private
112811,0,Private
88541,0,Private
60606,0,Private
93994,1,Public
33780,1,Public
30190,1,Public
34409,0,Private
32016,1,Public
50855,0,Public
54552,0,Private
19949,1,Public
63612,0,Private
111004,0,Private
107978,0,Public
27730,0,Public
60607,0,Private
6575,0,Public
35598,1,Private
29580,1,Private
18143,0,Private
62416,1,Public
8374,1,Public
56937,0,Private
117020,0,Public
33781,1,Public
101853,0,Private
12597,0,Public
74602,0,Public
118845,0,Private
103073,0,Private
92759,0,Public
114013,0,Private
115823,0,Public
72791,0,Private
102462,1,Public
2359,0,Private
104880,0,Private
38691,0,Public
116444,1,Public
27731,0,Private
7789,1,Private
35599,0,Public
81867,0,Private
42996,0,Private
55166,0,Public
106716,1,Private
4797,0,Public
50254,1,Public
84919,1,Public
22982,0,Private
18144,0,Private
71545,0,Private
49643,1,Public
119453,0,Public
4798,0,Public
55763,0,Private
51496,0,Public
120706,0,Public
4151,0,Public
120084,0,Public
73421,0,Private
25960,0,Public
81868,0,Public
19950,1,Private
40519,1,Public
38692,0,Private
38076,0,Private
2360,0,Public
45443,0,Private
38693,0,Private
86156,1,Public
84301,0,Private
14432,1,Private
95822,0,Public
2361,0,Private
83074,1,Private
63024,1,Public
65458,1,Public
2362,0,Public
88542,0,Public
22363,1,Private
27124,1,Public
81250,0,Private
61827,0,Private
87941,0,Private
112812,0,Private
5405,0,Private
118238,1,Private
70938,0,Public
31410,0,Public
46672,0,Private
96408,1,Public
25357,1,Public
69743,1,Private
109776,1,Public
110415,1,Public
15021,0,Public
9568,0,Public
109777,1,Public
85527,1,Private
114604,0,Private
119454,0,Private
18145,0,Private
41128,0,Private
63025,1,Public
90268,0,Private
114605,0,Private
56331,0,Public
111612,1,Private
119455,0,Private
93995,1,Private
53950,1,Private
38077,1,Private
76386,0,Private
3571,1,Public
15649,0,Private
102463,1,Private
73422,0,Public
43580,0,Public
96409,0,Public
35600,1,Public
31411,0,Private
63026,1,Public
47877,0,Private
95222,0,Public
82470,1,Public
62417,1,Public
21763,1,Private
109778,1,Public
54553,1,Private
84302,0,Private
63613,0,Public
120085,0,Public
60608,0,Private
43581,0,Public
45444,0,Private
101854,0,Private
47878,0,Public
16263,0,Public
66650,1,Public
24138,0,Public
109779,1,Public
36853,1,Public
15022,0,Private
28342,0,Private
15650,0,Public
23553,0,Private
103074,0,Public
28949,1,Public
63027,1,Public
2949,1,Public
1150,0,Private
103680,1,Public
79426,0,Private
49054,1,Public
41744,1,Public
16882,1,Private
44211,0,Public
98205,0,Private
118846,0,Private
119456,0,Private
118239,1,Private
14433,1,Public
80017,1,Private
3572,1,Private
49055,1,Private
19951,1,Public
47285,1,Public
107979,0,Private
38078,1,Public
87942,0,Public
74003,0,Private
7790,1,Public
13791,1,Public
98206,0,Private
64229,1,Public
47286,1,Public
18740,1,Public
13224,0,Public
55764,0,Private
61211,0,Public
107345,0,Public
44834,0,Public
24139,1,Public
25961,0,Private
65459,1,Public
81869,1,Private
19330,1,Private
111613,1,Public
118847,0,Public
98207,0,Private
24736,0,Private
7188,1,Public
67295,1,Public
84303,0,Private
32017,1,Public
66065,1,Public
52104,0,Private
112813,0,Public
44835,0,Public
91517,0,Public
97006,1,Private
98820,1,Public
117620,1,Public
39919,0,Private
100611,1,Public
107346,0,Private
41129,0,Private
19331,1,Public
22364,1,Public
4152,1,Public
33194,0,Private
21764,1,Private
118848,0,Private
46673,0,Private
67296,0,Public
74004,0,Private
67883,0,Public
31412,0,Private
28950,1,Public
40520,1,Private
34995,1,Public
39319,1,Public
56938,0,Public
49056,1,Public
33195,0,Private
120707,0,Private
87943,0,Public
78229,0,Public
75784,1,Private
115824,0,Private
30191,1,Public
78230,0,Private
50255,1,Public
115825,0,Private
86746,1,Public
2950,1,Public
98821,1,Private
102464,1,Private
42997,0,Private
14434,0,Public
25962,0,Public
63614,0,Public
93996,1,Public
23554,0,Private
90912,0,Public
36854,0,Private
4153,0,Private
36210,0,Private
73423,0,Private
34996,0,Private
60609,0,Public
83691,1,Public
27732,0,Private
104264,0,Public
66651,1,Public
104265,0,Public
103075,1,Private
109170,0,Public
59995,1,Public
15652,0,Private
32583,0,Private
15651,0,Private
48470,0,Public
107980,0,Public
31413,0,Private
19332,1,Public
4799,0,Public
87351,1,Public
39320,1,Public
72792,0,Public
31414,0,Private
74603,0,Public
84920,1,Private
98208,0,Private
79427,0,Private
90913,0,Public
35601,1,Public
112814,0,Private
51497,0,Private
101855,0,Public
31415,0,Private
521,1,Public
42998,0,Public
88543,0,Public
109780,0,Private
75184,1,Public
94620,1,Public
64230,1,Public
34997,1,Public
97605,0,Private
8375,1,Public
44212,0,Private
110416,1,Private
58132,0,Public
54554,1,Private
5992,0,Private
63028,1,Private
47879,0,Public
22365,0,Private
117621,1,Private
1151,0,Private
53323,0,Private
30192,1,Private
88544,0,Public
7791,1,Public
21168,0,Public
24737,0,Public
98822,1,Public
44213,0,Public
112210,1,Public
100024,0,Private
114606,0,Private
57524,1,Public
67884,0,Private
100612,1,Private
25358,0,Private
85528,1,Private
20609,0,Private
100614,1,Public
7189,0,Public
100613,1,Public
43582,0,Private
16264,0,Public
98823,1,Public
3573,1,Private
114607,0,Public
522,1,Public
104881,1,Public
20610,0,Private
90914,0,Private
100615,1,Private
43583,0,Private
523,1,Public
97606,0,Public
110417,1,Public
89702,0,Public
120708,0,Private
18741,1,Public
50256,0,Private
121331,1,Public
72793,0,Private
47287,1,Public
49057,1,Public
50257,1,Private
66066,1,Public
69744,1,Public
10812,0,Public
5993,0,Public
56332,0,Private
10811,0,Private
110418,1,Private
70939,0,Public
1152,0,Public
68504,0,Private
109781,0,Private
109782,1,Public
61828,0,Private
16883,1,Private
36211,0,Private
52105,1,Public
87352,1,Private
13792,1,Public
60610,0,Public
112211,1,Private
81870,1,Private
57525,0,Public
41745,1,Public
34998,1,Public
106717,0,Public
58754,0,Private
25359,1,Public
110419,1,Public
103681,1,Private
97007,1,Public
62418,1,Public
18146,0,Public
55167,0,Private
6576,0,Private
84304,0,Private
25360,1,Public
72168,1,Public
19952,1,Public
2951,1,Public
93382,0,Public
112212,1,Private
66067,1,Private
10813,0,Private
42370,0,Public
32018,1,Private
72794,0,Private
74604,0,Public
49058,1,Public
30783,0,Public
68505,1,Public
89123,1,Private
89703,0,Private
5994,0,Public
33196,0,Public
15023,0,Private
72795,0,Private
16265,0,Private
106120,1,Public
23555,0,Public
96410,1,Public
10814,0,Private
66068,1,Public
16884,1,Public
88545,0,Public
89704,0,Private
117021,0,Public
9569,1,Private
65460,0,Private
75185,1,Public
30784,0,Private
83075,1,Private
85529,1,Public
56939,0,Public
81251,0,Public
4800,0,Private
66652,0,Public
44214,0,Private
58133,0,Private
35602,1,Public
31416,0,Public
50856,0,Private
111614,1,Public
52106,1,Public
95823,0,Private
101856,0,Public
5995,0,Public
26528,1,Public
114014,0,Public
81871,1,Public
103076,1,Public
119457,0,Private
9570,1,Private
105494,0,Public
77614,0,Private
120086,0,Private
89705,0,Public
84921,0,Private
117022,0,Private
109171,0,Public
48471,0,Public
46674,0,Public
8991,1,Public
4801,0,Private
1153,0,Private
115826,0,Public
97008,1,Public
114015,0,Public
27733,0,Private
1769,1,Public
31417,0,Private
95223,0,Public
87353,1,Public
24738,0,Private
108596,0,Public
42999,0,Public
37483,1,Public
97009,1,Public
19333,1,Public
14435,1,Private
92135,0,Private
46675,0,Public
81252,0,Private
47288,1,Private
32584,0,Public
97010,1,Public
22366,0,Private
94621,1,Public
9571,0,Public
95824,0,Private
63615,0,Public
82471,1,Private
103682,1,Private
67885,0,Public
4154,1,Private
25963,0,Private
111005,0,Private
119458,0,Private
115234,0,Public
43584,0,Private
34410,0,Private
115235,0,Public
61829,0,Public
12008,1,Public
59996,0,Private
109172,0,Private
22367,1,Public
89706,0,Public
72169,1,Private
60611,0,Private
115827,0,Public
82472,1,Private
50258,0,Public
98824,0,Public
58755,0,Private
28951,1,Public
113409,1,Public
19953,1,Private
9572,1,Public
76985,1,Public
65461,1,Public
25361,1,Private
50857,0,Private
9573,1,Private
524,1,Public
18742,1,Public
43000,0,Public
11407,0,Private
17490,1,Public
116445,1,Public
92136,0,Public
111615,1,Public
38079,1,Private
86747,0,Private
44836,0,Public
69745,1,Public
22983,0,Public
58756,0,Private
61830,0,Public
51498,0,Public
81253,0,Private
107981,0,Public
61831,0,Private
114608,0,Private
49644,1,Public
13793,1,Public
1770,1,Public
94622,0,Public
22368,1,Public
89707,0,Private
106121,1,Public
10182,1,Private
49059,1,Public
4802,0,Private
57526,1,Private
52691,1,Private
103683,1,Public
113410,1,Private
100616,1,Public
107982,0,Private
86748,1,Private
117023,0,Public
55168,0,Private
83692,1,Private
6577,0,Private
74605,0,Private
68506,1,Private
103077,1,Public
31418,1,Private
55169,0,Private
114016,1,Private
100025,1,Private
120709,0,Public
73424,0,Private
120087,1,Public
62419,1,Public
61832,1,Private
1154,0,Public
13794,0,Public
81254,1,Private
5406,1,Public
92137,0,Public
68507,1,Public
66653,1,Public
115828,1,Private
24140,0,Private
41746,1,Private
67886,0,Private
26529,1,Public
64231,1,Private
85530,1,Public
114609,1,Private
55170,0,Public
106718,1,Public
52107,1,Public
33782,1,Public
110420,1,Public
93997,1,Public
76986,1,Public
50259,1,Public
43001,1,Private
53324,0,Private
39321,1,Public
46067,1,Public
118849,0,Private
96411,1,Public
40521,1,Public
74606,0,Private
73425,0,Private
69746,1,Private
25362,1,Public
119459,1,Public
56333,1,Private
38080,1,Private
112213,1,Private
73426,0,Public
38081,1,Public
39920,0,Private
118240,1,Private
26530,1,Private
32585,0,Public
63029,1,Public
48472,1,Public
86749,1,Private
25363,1,Public
22369,1,Public
103078,1,Public
93383,1,Public
81255,1,Private
52108,1,Public
96412,1,Private
46068,1,Public
9574,1,Public
30193,1,Private
115236,1,Public
5996,1,Private
33783,1,Public
101236,0,Public
81256,1,Private
106719,1,Private
30785,1,Public
117024,0,Private
35603,0,Private
119460,0,Private
112214,1,Private
31419,1,Private
90915,0,Public
80627,1,Private
98209,0,Private
16266,0,Public
58757,1,Public
35604,1,Private
52692,0,Private
66654,1,Public
11408,0,Public
58758,1,Public
59997,1,Private
13225,0,Public
75785,0,Public
21169,1,Private
83076,1,Public
52109,1,Private
16267,1,Private
22370,1,Private
20611,1,Public
117025,0,Private
22984,1,Public
103684,1,Private
117622,1,Public
86750,1,Public
55171,0,Public
43002,1,Public
12009,0,Public
88546,0,Public
4155,1,Private
50260,1,Private
88547,0,Public
27734,0,Private
39322,1,Public
61212,0,Private
97607,0,Private
8992,1,Public
16885,1,Public
67887,0,Private
54555,1,Private
22985,1,Private
103079,1,Private
118241,1,Public
4803,1,Public
37484,1,Private
7792,1,Public
38082,1,Public
89708,1,Private
71546,0,Public
12598,1,Private
18147,1,Public
54556,1,Public
104882,1,Public
68508,0,Private
70940,0,Private
43585,0,Private
9575,0,Public
65462,0,Private
36212,0,Private
111616,0,Private
115237,1,Public
25964,0,Public
72170,0,Private
8993,1,Private
63030,1,Private
59998,1,Private
77615,1,Private
31420,1,Public
47289,1,Private
80018,1,Public
30194,1,Private
56940,0,Private
43003,1,Private
116446,1,Public
59390,1,Public
24739,0,Private
53325,0,Private
80019,1,Public
68509,1,Public
48473,1,Public
55172,0,Private
30195,0,Public
14436,1,Public
52693,1,Public
105495,1,Public
114610,1,Private
66069,1,Public
16268,1,Public
15024,1,Private
29581,1,Public
67888,0,Private
36213,0,Private
43586,0,Private
111006,0,Private
75786,1,Public
84922,0,Public
74005,1,Public
1771,1,Private
74607,0,Public
89124,1,Public
76987,1,Public
41130,1,Public
21170,1,Private
117623,1,Private
108597,1,Private
107347,1,Public
55765,0,Public
78231,0,Public
25965,0,Private
85531,1,Public
44215,0,Public
56334,1,Public
103080,1,Public
20612,1,Public
7190,1,Public
72796,0,Public
44216,0,Private
62420,1,Public
81872,1,Public
101237,0,Public
8376,0,Private
9576,0,Public
53326,0,Public
5997,1,Public
24141,1,Public
84923,1,Public
83693,1,Public
33197,1,Public
79428,1,Public
113411,1,Private
56941,0,Private
97608,0,Private
35605,1,Private
117026,0,Public
65463,1,Private
118242,0,Private
93998,1,Private
95825,1,Public
22371,1,Public
30786,1,Public
119461,1,Private
53327,1,Private
119462,1,Public
52110,1,Public
89709,1,Private
30196,1,Private
98825,1,Private
102465,1,Private
9577,1,Private
75787,1,Public
113412,1,Public
102466,0,Public
78232,1,Public
31421,0,Public
5998,1,Private
22986,1,Public
97011,1,Private
63616,1,Private
113413,1,Private
56335,1,Public
109173,1,Public
81873,1,Public
70941,1,Private
100617,1,Public
56336,1,Private
27735,1,Public
96413,1,Public
91518,1,Private
103081,1,Public
103082,1,Public
121332,1,Public
111617,1,Private
98826,0,Private
64828,1,Private
33198,1,Public
21765,1,Public
39921,1,Private
525,1,Public
54557,1,Public
78233,1,Public
89710,1,Private
43004,1,Private
73427,1,Private
39922,1,Private
69129,0,Private
72797,1,Public
46069,1,Private
59999,1,Private
64829,1,Private
4804,0,Private
39923,1,Private
12599,1,Private
10815,1,Private
18148,1,Public
59391,1,Public
3574,1,Public
74608,1,Public
112815,1,Public
100026,1,Private
46676,0,Public
44217,1,Private
35606,1,Public
50858,1,Private
116447,0,Private
121333,1,Public
100618,0,Private
97012,1,Public
72798,1,Public
5407,1,Private
104266,1,Public
78234,0,Public
21171,1,Public
105496,1,Public
100619,1,Public
15653,1,Private
58759,1,Public
93999,1,Private
30787,1,Public
37485,1,Public
63031,1,Public
88548,0,Private
32586,1,Public
64232,1,Private
115829,1,Public
92760,1,Public
44837,1,Private
110421,1,Public
21766,1,Public
94623,1,Private
58760,1,Public
36214,1,Private
73428,1,Private
96414,1,Public
12010,1,Public
82473,1,Public
69747,1,Public
58761,1,Public
108598,1,Public
50261,1,Public
76988,1,Public
79429,1,Public
41131,1,Public
73429,0,Public
64830,1,Public
80628,1,Private
52694,1,Public
89711,1,Public
27736,1,Public
25966,1,Private
32019,1,Private
526,1,Public
102467,1,Public
92138,1,Private
117027,1,Public
98210,1,Private
84924,1,Public
63617,1,Public
95826,1,Public
120710,0,Private
49060,1,Private
85532,1,Private
73430,0,Private
26531,1,Public
36855,1,Public
56942,1,Public
76989,1,Public
115830,1,Private
96415,1,Public
54558,0,Private
92761,1,Public
106720,1,Public
38694,1,Private
5999,1,Private
39924,1,Public
42371,1,Private
5408,1,Public
112215,0,Public
84925,1,Private
23556,1,Public
47880,1,Private
78808,1,Private
36856,1,Public
102468,1,Private
79430,1,Private
112816,0,Public
109174,1,Public
2363,1,Public
78809,1,Public
31422,1,Public
73431,1,Public
89125,1,Public
120088,1,Public
22987,1,Public
12600,1,Public
104883,1,Public
115238,0,Private
78810,1,Public
48474,1,Private
85533,1,Public
59392,1,Public
121334,1,Private
95827,1,Public
41132,1,Public
107348,1,Public
73432,1,Public
33784,1,Public
9578,1,Public
8377,1,Public
24142,1,Public
26532,1,Public
49645,1,Private
10183,0,Private
49061,0,Public
34411,1,Public
113414,0,Public
45445,1,Public
21172,1,Public
57527,1,Public
11409,0,Public
24740,1,Public
2364,1,Private
1772,0,Public
87944,1,Public
44838,1,Public
55766,1,Public
49646,1,Private
32587,0,Private
86157,1,Private
36857,1,Public
8378,1,Public
93384,1,Private
24741,1,Public
47290,1,Private
22988,1,Public
6000,1,Private
15025,0,Public
50262,0,Private
21767,0,Private
36858,1,Public
34412,1,Public
39925,1,Private
7793,1,Public
114017,0,Private
73433,1,Public
64831,1,Public
98211,1,Private
60612,0,Private
11410,1,Public
104267,1,Public
19334,1,Public
83694,1,Private
109783,0,Private
55767,0,Private
15026,1,Private
27125,0,Private
41133,1,Public
87945,1,Public
92762,1,Public
109784,1,Public
53951,1,Private
42372,0,Public
79432,1,Public
52695,1,Private
51499,1,Private
113415,1,Public
110422,1,Public
28952,1,Public
79431,1,Public
86751,1,Public
