packet_id,user_id,timestamp_minute,session_duration_s,packet_size,distance_to_router,signal_strength,channel_load,device_type,os,protocol,request_type,destination_host,priority,is_encrypted,vpn_active,preferred_dns,battery_level,movement_speed,retry,delivered
107643,177,7398,908,47826,16.26,-79.81,0.341,phone,android,tcp,streaming,kion.ru,low,False,False,9.9.9.9,84.0,1.79,1,0
59523,98,1312,298,50855,13.6,-52.18,0.36,phone,ios,tcp,download,dl.google.com,medium,False,,1.1.1.1,40.0,2.74,0,1
101788,167,17887,1555,2543,26.92,-89.3,0.576,phone,android,udp,gaming,riot.com,high,False,True,8.8.8.8,77.4,0.16,1,0
18698,30,18736,68,144,16.72,-43.64,0.327,laptop,windows,tcp,browsing,telegram.org,low,True,True,1.1.1.1,46.6,0.11,0,1
106460,175,11051,270,39082,21.3,-96.02,0.581,phone,android,tcp,download,releases.1c.ru,low,False,False,8.8.8.8,45.4,2.79,1,0
160,0,6376,331,41636,14.79,-66.8,0.532,phone,ios,tcp,download,github.com,low,False,True,8.8.8.8,80.6,1.2,0,1
3678,6,445,150,17105,10.19,-33.72,0.386,laptop,windows,tcp,download,releases.1c.ru,medium,True,False,208.67.222.222,67.8,0.02,0,1
57717,95,3865,98,1835,18.07,-88.58,0.558,phone,android,tcp,browsing,zoom.us,low,False,False,8.8.8.8,31.5,2.35,0,1
62300,102,15448,816,39422,22.76,-28.51,0.365,laptop,windows,udp,streaming,youtube.com,high,False,True,208.67.222.222,35.0,0.17,0,1
25198,41,14510,65,41188,19.89,-7.28,0.465,laptop,linux,tcp,download,releases.1c.ru,low,True,True,208.67.222.222,49.9,0.08,0,1
86542,142,11291,271,47710,8.85,-91.15,0.278,phone,android,tcp,download,mega.nz,low,True,False,1.1.1.1,23.4,2.09,0,1
75524,124,9754,53,105,17.91,-56.23,0.445,phone,ios,udp,browsing,yandex.ru,high,False,True,208.67.222.222,29.2,4.41,0,1
77159,127,3373,3075,688,2.44,-37.65,0.564,phone,android,udp,gaming,gaijin.net,high,True,False,208.67.222.222,86.9,0.8,0,1
14247,23,12625,208,56274,8.32,2.82,0.413,laptop,linux,tcp,download,onedrive.live.com,medium,False,False,1.1.1.1,11.0,0.59,0,1
80882,133,5986,186,59532,23.55,81.08,0.235,laptop,windows,udp,download,mega.nz,medium,True,False,1.1.1.1,78.4,0.64,1,0
115641,190,12695,106,1415,21.82,-48.49,0.176,phone,ios,tcp,browsing,yandex.ru,low,True,False,,50.2,0.68,0,1
105162,173,7701,151,132,1.78,-19.21,0.517,phone,android,udp,browsing,yandex.ru,medium,False,True,208.67.222.222,70.8,1.99,0,1
64203,105,19006,51,23792,19.67,-9.08,0.106,laptop,macos,udp,browsing,telegram.org,low,False,True,1.1.1.1,72.2,0.16,0,1
8062,13,6912,118,97,16.07,-71.55,0.421,phone,android,tcp,browsing,ok.ru,low,True,,,28.2,0.71,0,1
100960,166,9647,684,49816,13.65,22.55,0.541,laptop,macos,udp,streaming,twitch.tv,high,True,True,8.8.8.8,30.3,0.52,0,1
35971,59,10696,1490,17120,21.39,45.27,0.658,laptop,windows,udp,streaming,rutube.ru,high,False,False,,76.2,0.87,1,0
55065,90,16517,132,1834,12.52,-79.92,0.66,phone,ios,tcp,browsing,mail.ru,medium,True,True,208.67.222.222,82.7,3.5,0,1
91181,150,7040,323,40871,6.95,-14.75,0.188,phone,ios,tcp,download,dl.google.com,medium,False,True,9.9.9.9,55.3,2.36,0,1
22284,36,16944,40,259,2.52,-79.82,0.396,iot,linux,tcp,browsing,avito.ru,high,True,True,9.9.9.9,42.8,0.14,0,1
687,1,2420,85,1476,6.83,-76.27,0.538,iot,android,tcp,browsing,mail.ru,medium,False,False,208.67.222.222,27.0,0.21,0,1
10290,17,592,1219,62132,23.99,7.1,0.381,laptop,windows,udp,streaming,kinopoisk.ru,high,True,False,208.67.222.222,79.2,0.21,0,1
88153,145,5613,437,65246,5.61,-51.71,0.116,phone,android,udp,download,s3.amazonaws.com,medium,True,,208.67.222.222,38.7,0.04,1,0
19813,32,15110,486,9676,18.53,-68.15,0.88,iot,linux,udp,streaming,youtube.com,high,False,True,1.1.1.1,75.9,0.18,0,1
17054,28,3795,131,135,7.9,-52.1,0.523,iot,android,tcp,browsing,telegram.org,low,False,False,,52.9,0.02,0,1
117386,193,11044,203,60011,10.49,-86.95,0.428,phone,android,tcp,download,download.kaspersky.com,low,True,,9.9.9.9,38.3,0.16,1,0
53288,87,19273,302,47456,20.58,17.84,0.544,laptop,windows,tcp,download,dl.google.com,high,True,False,1.1.1.1,48.6,0.55,0,1
87011,143,6630,108,23020,12.07,70.9,0.571,laptop,windows,tcp,download,releases.1c.ru,high,True,False,8.8.8.8,68.5,0.68,0,1
93976,154,19504,299,30142,10.72,-87.17,0.623,iot,linux,tcp,download,cloud.mail.ru,low,True,False,1.1.1.1,43.0,0.27,1,0
118659,195,13297,619,2947,5.66,-84.56,0.196,phone,android,udp,gaming,gaijin.net,high,False,True,8.8.8.8,74.4,0.72,1,0
88936,146,12864,131,241,23.13,-60.08,0.35,phone,android,tcp,browsing,kinopoisk.ru,medium,True,False,1.1.1.1,43.7,2.76,0,1
114222,188,4018,419,31076,22.89,-29.22,0.079,phone,android,tcp,download,dl.google.com,high,True,True,1.1.1.1,29.2,4.38,1,0
286,0,10873,377,52943,16.18,-77.21,0.756,phone,ios,udp,download,onedrive.live.com,high,True,True,9.9.9.9,57.8,1.27,0,1
103436,170,10760,83,1761,7.17,-45.71,0.519,phone,ios,tcp,browsing,avito.ru,medium,True,False,,62.3,1.84,0,1
115066,189,13710,261,58849,23.58,57.45,0.5,laptop,linux,tcp,download,github.com,medium,False,False,208.67.222.222,47.8,0.47,0,1
16537,27,6981,334,45371,0.93,-55.45,0.354,phone,android,tcp,download,cloud.mail.ru,medium,False,False,9.9.9.9,12.9,1.07,0,1
92668,152,16634,990,595,26.38,-19.54,0.705,phone,android,tcp,gaming,mail.ru,medium,True,True,,36.6,1.48,0,1
65128,107,8077,51,371,14.06,-64.96,0.697,phone,android,tcp,browsing,rbc.ru,medium,True,,1.1.1.1,38.5,0.65,0,1
97947,161,9940,361,38689,22.81,-3.69,0.195,laptop,macos,tcp,download,yadi.sk,medium,True,True,8.8.8.8,20.5,0.18,1,0
3420,5,14058,450,47813,15.12,-57.85,0.517,phone,ios,udp,download,yadi.sk,low,True,True,8.8.8.8,39.1,2.1,0,1
98072,161,15218,140,1082,22.11,34.42,0.743,laptop,macos,tcp,browsing,google.com,medium,False,,1.1.1.1,41.5,0.28,1,0
34377,56,18918,829,59262,22.45,-22.54,0.15,iot,linux,udp,streaming,youtube.com,high,False,True,1.1.1.1,77.3,0.28,1,0
113005,186,4014,425,64487,15.77,32.43,0.4,laptop,macos,tcp,download,github.com,medium,False,False,1.1.1.1,24.5,0.5,0,1
28320,46,19309,524,28456,3.51,-22.97,0.458,phone,ios,udp,download,onedrive.live.com,high,True,,208.67.222.222,97.6,0.65,0,1
72612,119,13672,44,697,19.78,-68.16,0.788,phone,android,udp,browsing,dzen.ru,medium,True,,8.8.8.8,77.4,0.26,1,0
96355,158,18217,64,41507,3.83,40.85,0.433,laptop,windows,quic,download,dl.google.com,low,False,False,,50.3,0.54,1,0
66570,109,17336,1092,24942,10.07,-31.11,0.217,laptop,windows,udp,streaming,premier.one,medium,True,False,,53.8,0.55,0,1
119053,196,3624,88,476,4.01,92.35,0.539,laptop,windows,tcp,browsing,vk.com,low,False,False,208.67.222.222,63.0,0.56,0,1
78953,130,2054,2794,4390,19.65,-48.41,0.484,phone,android,quic,gaming,gaijin.net,high,True,False,9.9.9.9,84.2,1.69,0,1
27880,46,2270,114,78,7.99,-32.28,0.765,phone,ios,tcp,browsing,whatsapp.com,low,True,True,9.9.9.9,76.0,1.85,0,1
97136,160,820,3019,4149,15.55,-74.05,0.502,phone,ios,quic,gaming,steampowered.com,medium,False,False,9.9.9.9,63.3,0.29,1,0
109550,180,10957,389,60783,24.94,-71.47,0.578,phone,android,tcp,download,yadi.sk,medium,False,,1.1.1.1,53.0,1.36,0,1
78383,129,2360,428,11790,6.33,-82.87,0.507,phone,android,tcp,streaming,twitch.tv,medium,False,True,,38.9,0.84,1,0
107906,177,17607,525,61761,12.91,-87.75,0.309,phone,android,tcp,download,github.com,low,False,,1.1.1.1,85.1,3.01,1,0
94857,156,5176,1319,49025,11.99,-59.49,0.746,iot,linux,quic,streaming,ntv.ru,high,False,False,9.9.9.9,59.6,0.13,0,1
6875,11,7616,907,8823,6.59,-86.5,0.263,phone,android,udp,streaming,rutube.ru,medium,False,False,208.67.222.222,93.7,2.16,0,1
42719,70,9673,1317,62202,17.26,60.38,0.473,laptop,linux,udp,streaming,kinopoisk.ru,medium,True,False,,38.1,1.14,0,1
6919,11,9408,542,55480,8.27,-72.81,0.589,phone,android,tcp,download,cdn.yandex.net,medium,True,False,208.67.222.222,35.1,0.16,1,0
86525,142,10801,839,65411,11.17,-87.57,0.605,phone,android,udp,streaming,vkvideo.ru,medium,False,False,1.1.1.1,59.3,0.62,1,0
47445,78,2486,1725,2103,10.42,-84.65,0.368,phone,ios,udp,gaming,wargaming.net,high,False,False,,5.0,1.3,1,0
1351,2,3751,517,38972,9.99,54.63,0.443,laptop,windows,quic,download,github.com,high,True,False,1.1.1.1,50.3,0.99,0,1
33528,55,10332,337,32020,19.48,82.84,0.279,laptop,macos,tcp,download,mega.nz,low,True,,8.8.8.8,69.7,0.26,0,1
106064,174,18271,527,62395,3.16,-41.31,0.573,phone,android,tcp,download,github.com,low,False,False,,24.5,1.82,0,1
78621,129,12585,35,538,5.15,-78.44,0.332,phone,android,quic,browsing,vk.com,medium,False,False,,24.1,0.48,0,1
87887,144,18659,173,1147,4.9,-35.9,0.414,phone,android,udp,browsing,whatsapp.com,low,True,,,36.5,0.06,1,0
4702,7,16420,542,18881,13.06,-33.96,0.657,phone,android,quic,download,cloud.mail.ru,low,True,False,8.8.8.8,76.5,3.66,1,0
69897,115,2401,1514,2361,19.54,-41.8,0.517,iot,android,udp,gaming,mail.ru,medium,True,True,1.1.1.1,30.0,0.13,0,1
28511,47,2617,1630,33271,16.35,-11.23,0.247,laptop,windows,udp,streaming,ivi.ru,medium,True,False,8.8.8.8,5.0,0.12,0,1
11221,18,12804,65,1207,13.17,33.6,0.206,laptop,windows,tcp,browsing,yandex.ru,low,True,True,,57.4,0.56,1,0
56805,93,15555,723,41015,15.92,-96.3,0.298,iot,linux,quic,streaming,rutube.ru,high,True,False,1.1.1.1,5.0,0.25,0,1
68761,113,5617,547,15238,22.59,-99.53,0.081,phone,android,quic,download,s3.amazonaws.com,medium,False,False,8.8.8.8,28.7,1.28,0,1
69268,114,2457,974,3182,1.97,54.75,0.487,laptop,windows,udp,gaming,vkplay.ru,high,False,True,208.67.222.222,28.9,0.55,0,1
81756,134,15909,216,24746,21.23,-52.55,0.243,phone,android,quic,download,github.com,low,False,,1.1.1.1,62.0,0.63,0,1
11811,19,12057,289,16381,0.5,-62.06,0.73,phone,ios,udp,download,releases.1c.ru,medium,False,False,208.67.222.222,87.3,1.11,0,1
22696,37,9394,93,955,6.11,-29.56,0.713,iot,linux,tcp,browsing,tiktok.com,medium,False,False,9.9.9.9,86.4,0.13,0,1
17749,29,5796,749,3872,4.23,-30.41,0.241,phone,ios,udp,gaming,battlestate.games,high,False,,208.67.222.222,59.4,1.2,0,1
46274,76,4919,1768,1211,25.83,-68.22,0.549,phone,ios,udp,gaming,steampowered.com,high,True,True,9.9.9.9,68.9,1.12,0,1
46166,76,232,3263,2974,24.28,-77.24,0.284,phone,ios,udp,gaming,mail.ru,low,False,False,8.8.8.8,69.8,1.21,1,0
40441,66,16632,1436,40874,5.33,73.77,0.617,laptop,macos,tcp,streaming,rutube.ru,high,False,False,1.1.1.1,60.2,0.04,0,1
29075,48,1356,1596,2624,14.63,-46.13,0.276,phone,ios,udp,gaming,battlestate.games,high,False,False,208.67.222.222,39.0,0.55,0,1
36752,60,16186,43,1586,19.73,-110.74,0.466,iot,android,tcp,browsing,ok.ru,low,False,False,,77.1,0.25,0,1
79021,130,4378,1350,27410,20.41,-19.34,0.278,phone,android,tcp,streaming,matchtv.ru,medium,False,,9.9.9.9,84.7,0.51,0,1
48873,80,13618,1053,42571,19.77,-68.07,0.62,phone,android,udp,streaming,kion.ru,high,False,False,9.9.9.9,100.0,1.23,0,1
92561,152,13126,696,50225,24.82,-33.13,0.179,phone,android,udp,streaming,amediateka.ru,high,True,False,,62.5,1.61,0,1
98025,161,13502,144,633,23.16,13.47,0.38,laptop,macos,quic,browsing,mail.ru,medium,True,False,9.9.9.9,80.9,0.07,0,1
113973,187,18405,126,1163,21.72,79.25,0.426,laptop,linux,tcp,browsing,yandex.ru,high,False,True,8.8.8.8,11.6,0.16,1,0
107042,176,8947,108,1688,1.64,138.38,0.255,laptop,linux,tcp,browsing,zoom.us,medium,True,True,8.8.8.8,67.1,0.19,1,0
38289,63,4928,179,1602,9.68,-80.2,0.73,phone,ios,tcp,browsing,stackoverflow.com,low,True,True,8.8.8.8,83.2,4.29,1,0
94458,155,13660,80,1616,28.13,-57.57,0.583,iot,linux,tcp,browsing,avito.ru,low,True,False,,43.6,0.21,0,1
74918,123,9701,234,20361,22.89,-73.29,0.504,iot,linux,quic,download,archive.debian.org,low,True,True,,27.9,0.11,0,1
108089,178,881,46,678,14.41,-26.9,0.552,iot,android,tcp,browsing,stackoverflow.com,medium,False,False,9.9.9.9,41.1,0.16,1,0
75688,124,16766,936,39786,19.34,-54.19,0.724,phone,ios,udp,streaming,more.tv,high,False,False,1.1.1.1,36.1,0.6,0,1
19751,32,13007,816,62169,21.08,-79.41,0.447,iot,linux,tcp,streaming,ivi.ru,high,True,False,208.67.222.222,36.0,0.16,0,1
110177,181,10863,2645,2527,17.32,-117.01,0.735,phone,android,udp,gaming,leagueoflegends.com,low,True,True,1.1.1.1,59.0,0.17,1,0
10274,17,45,51,1882,22.67,37.31,0.327,laptop,windows,udp,browsing,ozon.ru,medium,False,False,1.1.1.1,44.1,0.77,1,0
103340,170,7006,1095,54895,12.78,-66.16,0.337,phone,ios,udp,streaming,wink.ru,medium,False,,9.9.9.9,57.9,1.58,0,1
31070,51,6401,795,33304,1.7,-34.49,0.607,phone,android,tcp,streaming,ivi.ru,medium,False,False,208.67.222.222,60.4,1.19,0,1
118411,195,2828,951,45738,6.48,-77.74,0.484,phone,android,quic,streaming,youtube.com,high,False,True,,45.8,1.46,1,0
31916,52,15812,490,25120,26.93,-66.5,0.329,iot,linux,udp,download,s3.amazonaws.com,low,False,,8.8.8.8,50.9,0.11,0,1
56749,93,13350,1635,56193,15.19,-56.45,0.325,iot,linux,udp,streaming,rutube.ru,low,False,False,9.9.9.9,89.5,0.0,1,0
7062,11,15147,919,32485,6.79,-82.38,0.798,phone,android,udp,streaming,rutube.ru,medium,False,True,208.67.222.222,51.3,0.19,1,0
4504,7,8620,1079,10041,10.72,-22.1,0.33,phone,android,quic,streaming,rutube.ru,low,True,,,37.5,1.66,0,1
96796,159,11239,2526,4966,11.54,43.99,0.402,laptop,linux,udp,gaming,mail.ru,high,True,False,,20.5,0.81,0,1
51407,84,17113,122,24676,0.85,-18.58,0.219,iot,android,tcp,download,s3.amazonaws.com,low,False,False,,31.2,0.03,0,1
37826,62,11020,269,23146,9.56,-52.13,0.67,phone,android,tcp,download,update.1c.ru,low,False,False,1.1.1.1,45.6,0.52,0,1
72057,118,15517,107,485,19.68,48.44,0.397,laptop,linux,tcp,browsing,telegram.org,medium,False,True,,17.0,0.44,0,1
93595,154,5233,95,23212,10.07,-91.15,0.494,iot,linux,quic,download,archive.debian.org,medium,False,False,1.1.1.1,26.6,0.02,1,0
70794,116,14725,363,49090,9.22,-87.09,0.242,phone,android,tcp,download,archive.debian.org,medium,True,True,,74.9,1.3,1,0
98405,162,3696,114,977,6.35,47.53,0.68,laptop,windows,tcp,browsing,vk.com,medium,False,,9.9.9.9,57.1,0.1,1,0
84661,139,9844,861,58144,11.3,-89.86,0.146,phone,android,tcp,streaming,okko.tv,high,True,True,8.8.8.8,22.7,0.14,0,1
79715,131,8128,549,59558,2.76,-53.92,0.607,phone,android,udp,streaming,youtube.com,high,False,True,1.1.1.1,49.1,1.24,0,1
6905,11,8940,590,24681,6.64,-93.99,0.217,phone,android,tcp,download,cloud.mail.ru,medium,True,False,208.67.222.222,75.2,0.61,0,1
102724,169,6753,578,38756,20.4,-95.1,0.392,phone,android,tcp,download,onedrive.live.com,high,True,True,,25.3,0.46,1,0
92248,152,614,362,23874,20.99,-32.85,0.588,phone,android,udp,download,mega.nz,medium,False,False,9.9.9.9,77.4,1.74,0,1
880,1,9874,93,1288,9.12,-54.93,0.154,iot,android,udp,browsing,ozon.ru,low,False,False,,38.4,0.27,1,0
51676,85,2688,120,200,14.11,-76.61,0.319,phone,android,tcp,browsing,yandex.ru,medium,True,False,208.67.222.222,33.5,1.64,0,1
103852,171,3405,455,15370,21.11,-30.65,0.557,phone,android,udp,download,yadi.sk,medium,False,False,,67.2,2.01,0,1
116135,191,8343,1564,34707,19.75,77.86,0.285,laptop,windows,udp,streaming,ivi.ru,medium,True,False,9.9.9.9,37.2,0.66,0,1
19500,32,3020,497,12533,19.02,-70.97,0.358,iot,linux,udp,streaming,kinopoisk.ru,medium,True,False,9.9.9.9,78.7,0.17,0,1
58468,96,8519,330,11163,13.31,98.17,0.26,laptop,windows,udp,streaming,rutube.ru,medium,False,False,1.1.1.1,37.4,0.7,0,1
32449,53,14183,305,57134,12.17,-74.87,0.171,phone,android,quic,download,github.com,medium,True,True,9.9.9.9,30.1,0.06,1,0
105614,174,608,495,24530,8.12,-42.72,0.554,phone,android,udp,streaming,more.tv,high,True,,,49.0,1.25,0,1
54867,90,8715,104,1629,12.17,-75.3,0.395,phone,ios,udp,browsing,whatsapp.com,medium,False,True,8.8.8.8,63.5,1.73,1,0
19247,31,17878,900,40146,7.83,-79.88,0.405,phone,android,udp,streaming,ntv.ru,high,False,False,9.9.9.9,46.6,2.38,0,1
50078,82,13542,592,12150,4.93,-46.28,0.481,iot,linux,tcp,download,download.kaspersky.com,high,False,False,,60.2,0.07,0,1
43718,72,1959,162,886,16.23,-75.22,0.544,iot,android,tcp,browsing,avito.ru,low,False,True,1.1.1.1,75.1,0.05,1,0
113838,187,13548,325,15558,21.43,83.56,0.614,laptop,linux,tcp,download,update.1c.ru,high,True,True,1.1.1.1,61.9,0.07,0,1
36624,60,10897,573,23506,19.73,-110.45,0.5,iot,android,udp,download,onedrive.live.com,high,True,False,8.8.8.8,53.6,0.07,1,0
46296,76,5721,413,60519,27.26,-88.79,0.102,phone,ios,tcp,download,github.com,medium,True,False,9.9.9.9,47.0,1.05,1,0
97717,161,734,681,14380,23.54,17.75,0.638,laptop,macos,udp,streaming,youtube.com,high,False,True,1.1.1.1,58.9,0.18,0,1
25466,42,297,72,42462,22.32,-77.46,0.222,phone,android,tcp,download,cdn.yandex.net,high,False,True,1.1.1.1,80.9,1.74,1,0
75051,123,14922,529,37283,18.44,-53.46,0.468,iot,linux,udp,download,github.com,low,False,,1.1.1.1,71.5,0.17,0,1
55038,90,15103,1882,2289,12.78,-75.17,0.673,phone,ios,tcp,gaming,wargaming.net,medium,False,False,1.1.1.1,58.4,0.54,0,1
80259,132,6093,64,212,19.33,68.2,0.323,laptop,windows,udp,browsing,whatsapp.com,high,False,True,208.67.222.222,83.1,0.72,0,1
118677,195,13794,1688,55958,5.07,-73.22,0.553,phone,android,udp,streaming,vkvideo.ru,low,False,True,208.67.222.222,53.4,0.67,1,0
7162,11,19336,923,57007,6.99,-89.11,0.721,phone,android,udp,streaming,videomore.ru,high,True,True,,67.7,1.54,1,0
113960,187,18066,49,32846,23.13,46.4,0.977,laptop,linux,tcp,browsing,telegram.org,medium,False,True,208.67.222.222,67.3,0.14,0,1
74949,123,11256,384,45169,20.91,-66.76,0.317,iot,linux,udp,download,releases.1c.ru,low,True,False,1.1.1.1,23.6,0.27,0,1
93864,154,15328,274,61972,11.66,-96.55,0.554,iot,linux,udp,download,pypi.org,medium,True,True,208.67.222.222,46.1,0.02,1,0
5005,8,4490,1257,60924,6.82,-12.25,0.156,phone,android,udp,streaming,smotrim.ru,high,True,False,208.67.222.222,71.5,1.44,0,1
36649,60,11676,236,30315,20.51,-95.77,0.409,iot,android,udp,download,cdn.yandex.net,low,False,True,,77.1,0.15,0,1
81081,133,13664,95,1089,25.42,112.04,0.579,laptop,windows,tcp,browsing,telegram.org,medium,True,True,1.1.1.1,42.9,0.18,0,1
14851,24,12693,74,425,13.53,-29.42,0.046,phone,android,tcp,browsing,lenta.ru,high,True,,208.67.222.222,29.0,4.11,0,1
62512,103,275,162,1979,24.42,16.28,0.177,laptop,windows,tcp,browsing,ok.ru,low,True,False,8.8.8.8,76.1,0.72,0,1
114846,189,5313,509,46102,18.68,90.15,0.643,laptop,linux,tcp,download,s3.amazonaws.com,medium,True,False,208.67.222.222,25.3,0.21,1,0
69390,114,7736,1608,4693,5.49,70.44,0.542,laptop,windows,udp,gaming,ubisoft.com,high,False,False,8.8.8.8,56.5,0.02,1,0
26919,44,11393,144,1044,25.08,11.51,0.348,laptop,macos,tcp,browsing,rambler.ru,medium,False,False,9.9.9.9,47.9,0.2,0,1
37335,61,15273,2095,2454,6.41,12.11,0.579,laptop,linux,udp,gaming,riot.com,high,True,False,208.67.222.222,27.8,0.62,1,0
52343,86,6026,1285,26167,9.0,39.88,0.365,laptop,macos,udp,streaming,twitch.tv,high,True,False,8.8.8.8,87.6,0.09,0,1
117321,193,8085,61,37175,9.85,-61.16,0.524,phone,android,tcp,download,dl.google.com,medium,True,,,39.1,0.34,1,0
51425,84,17949,106,10840,3.44,-30.49,0.581,iot,android,tcp,download,mega.nz,medium,True,False,208.67.222.222,39.5,0.27,0,1
13443,22,5565,261,28756,24.39,-93.49,0.448,phone,android,tcp,download,pypi.org,medium,True,False,1.1.1.1,12.7,1.64,0,1
